id,author_last,author_first,author_m,year,title,title_periodical,volume,issue,page_nums,doi,link
1,Pierce,D,L,2015,Redefining Music Appreciation: Exploring the Power of Music,College Music Symposium,55,,,https://www.jstor.org/stable/26574401,https://www.jstor.org/stable/26574401
2,Kekes,J,,1982,Happiness,Mind,91,363,358–376,http://www.jstor.org/stable/2253226,https://www.jstor.org/stable/2253226
